74	49	122	80	90	119	100	-102	-60	66	122	-77	39	49	122	80	90	119	100	-102	-60	66	122	-77	39	
124	50	122	80	90	119	100	-102	-59	66	122	-77	39	50	122	80	90	119	100	-102	-59	66	122	-77	39	
174	50	122	80	90	118	100	-102	-59	66	122	-77	39	50	122	80	90	118	100	-102	-59	66	122	-77	39	
224	50	122	80	90	119	100	-102	-59	66	122	-77	39	50	122	80	90	119	100	-102	-59	66	122	-77	39	
274	50	122	80	90	119	101	-102	-59	66	122	-77	39	50	122	80	90	119	101	-102	-59	66	122	-77	39	
324	50	122	80	90	119	100	-102	-59	65	122	-77	39	50	122	80	90	119	100	-102	-59	65	122	-77	39	
374	50	122	80	90	119	100	-102	-59	66	122	-77	39	50	122	80	90	119	100	-102	-59	66	122	-77	39	
424	50	122	80	90	119	100	-102	-59	65	122	-77	39	50	122	80	90	119	100	-102	-59	65	122	-77	39	
474	50	122	80	90	119	100	-102	-59	66	122	-77	39	50	122	80	90	119	100	-102	-59	66	122	-77	39	
525	50	122	80	90	119	101	-102	-59	66	122	-78	39	50	122	80	90	119	101	-102	-59	66	122	-78	39	
575	49	122	80	90	119	100	-102	-59	66	122	-77	39	49	122	80	90	119	100	-102	-59	66	122	-77	39	
625	50	122	80	90	119	100	-103	-59	66	122	-77	39	50	122	80	90	119	100	-103	-59	66	122	-77	39	
675	50	122	80	90	119	100	-102	-59	65	122	-77	39	50	122	80	90	119	100	-102	-59	65	122	-77	39	
725	50	122	80	90	118	100	-103	-59	65	122	-77	39	50	122	80	90	118	100	-103	-59	65	122	-77	39	
776	50	122	80	90	119	100	-102	-59	66	122	-77	39	50	122	80	90	119	100	-102	-59	66	122	-77	39	
826	50	122	80	90	119	100	-102	-59	65	122	-77	39	50	122	80	90	119	100	-102	-59	65	122	-77	39	
876	50	122	80	90	119	100	-102	-59	65	122	-77	39	50	122	80	90	119	100	-102	-59	65	122	-77	39	
928	50	122	80	90	119	100	-102	-59	66	122	-78	39	50	122	80	90	119	100	-102	-59	66	122	-78	39	
978	49	122	80	90	119	100	-102	-60	66	122	-77	39	49	122	80	90	119	100	-102	-60	66	122	-77	39	
1028	50	122	80	90	118	100	-102	-59	65	122	-77	39	50	122	80	90	118	100	-102	-59	65	122	-77	39	
1078	50	122	80	90	119	100	-103	-59	66	122	-78	39	50	122	80	90	119	100	-103	-59	66	122	-78	39	
1129	50	122	80	90	119	100	-102	-59	65	122	-77	39	50	122	80	90	119	100	-102	-59	65	122	-77	39	
1182	50	122	80	90	119	100	-102	-59	65	122	-77	39	50	122	80	90	119	100	-102	-59	65	122	-77	39	
1233	50	122	80	90	119	100	-102	-59	65	122	-77	39	50	122	80	90	119	100	-102	-59	65	122	-77	39	
1284	50	122	80	90	119	101	-102	-59	66	122	-78	39	50	122	80	90	119	101	-102	-59	66	122	-78	39	
1335	50	122	80	90	119	101	-102	-60	65	122	-77	39	50	122	80	90	119	101	-102	-60	65	122	-77	39	
1385	49	122	80	90	119	100	-102	-59	66	122	-77	39	49	122	80	90	119	100	-102	-59	66	122	-77	39	
1435	50	122	80	90	119	100	-102	-59	65	122	-77	39	50	122	80	90	119	100	-102	-59	65	122	-77	39	
1485	50	122	80	90	119	100	-102	-59	66	122	-77	39	50	122	80	90	119	100	-102	-59	66	122	-77	39	
1535	49	122	80	90	119	100	-102	-59	65	122	-77	39	49	122	80	90	119	100	-102	-59	65	122	-77	39	
1585	50	122	80	90	119	100	-102	-59	65	122	-78	39	50	122	80	90	119	100	-102	-59	65	122	-78	39	
1636	50	122	80	90	119	101	-102	-60	65	122	-77	39	50	122	80	90	119	101	-102	-60	65	122	-77	39	
1690	50	122	80	90	119	100	-102	-59	66	122	-77	39	50	122	80	90	119	100	-102	-59	66	122	-77	39	
1740	50	122	80	90	119	100	-102	-59	66	122	-77	39	50	122	80	90	119	100	-102	-59	66	122	-77	39	
1790	50	122	80	90	119	100	-102	-59	66	122	-78	39	50	122	80	90	119	100	-102	-59	66	122	-78	39	
