7.09	197.00	197.00	-204.09
16.67	252.00	55.00	-255.00
19.40	72.00	-180.00	-91.40
14.81	-121.00	-193.00	106.19
12.25	-64.00	57.00	51.75
9.26	-83.00	-19.00	73.74
5.09	-119.00	-36.00	113.91
9.24	109.00	228.00	-118.23
11.55	61.00	-48.00	-72.55
14.96	92.00	31.00	-106.96
19.62	126.00	34.00	-145.62
16.73	-74.00	-200.00	57.27
16.35	-10.00	64.00	-6.35
16.28	-2.00	8.00	-14.28
16.18	-3.00	-1.00	-13.18
16.11	-2.00	1.00	-14.11
16.04	-2.00	0.00	-14.04
15.97	-2.00	0.00	-13.97
15.90	-2.00	0.00	-13.90
15.83	-2.00	0.00	-13.83
15.73	-3.00	-1.00	-12.73
15.65	-2.00	1.00	-13.65
15.58	-2.00	0.00	-13.58
15.51	-2.00	0.00	-13.51
15.44	-2.00	0.00	-13.44
15.38	-2.00	0.00	-13.38
15.31	-2.00	0.00	-13.31
15.24	-2.00	0.00	-13.24
15.17	-2.00	0.00	-13.17
15.10	-2.00	0.00	-13.10
14.99	-3.00	-1.00	-11.99
14.92	-2.00	1.00	-12.92
14.85	-2.00	0.00	-12.85
14.78	-2.00	0.00	-12.78
14.71	-2.00	0.00	-12.71
14.64	-2.00	0.00	-12.64
14.57	-2.00	0.00	-12.57
14.50	-2.00	0.00	-12.50
14.40	-3.00	-1.00	-11.40
14.32	-2.00	1.00	-12.32
14.25	-2.00	0.00	-12.25
14.18	-2.00	0.00	-12.18
14.12	-2.00	0.00	-12.12
14.05	-2.00	0.00	-12.05
13.98	-2.00	0.00	-11.98
13.87	-3.00	-1.00	-10.87
13.76	-3.00	0.00	-10.76
13.69	-2.00	1.00	-11.69
13.62	-2.00	0.00	-11.62
13.55	-2.00	0.00	-11.55
13.48	-2.00	0.00	-11.48
13.38	-3.00	-1.00	-10.38
13.27	-3.00	0.00	-10.27
13.20	-2.00	1.00	-11.20
13.13	-2.00	0.00	-11.13
13.03	-3.00	-1.00	-10.03
12.96	-2.00	1.00	-10.96
12.89	-2.00	0.00	-10.89
12.82	-2.00	0.00	-10.82
12.75	-2.00	0.00	-10.75
